journal_title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Publisher,Society or institution,"Platform, host or aggregator",Country of publisher,Journal article processing charges (APCs),APC information URL,APC amount,Currency,Journal article submission fee,Submission fee URL,Submission fee amount,Submission fee currency,Number of articles publish in the last calendar year,Number of articles information URL,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Digital archiving policy or program(s),Archiving: national library,Archiving: other,Archiving infomation URL,Journal full-text crawl permission,Permanent article identifiers,Journal provides download statistics,Download statistics information URL,First calendar year journal provided online Open Access content,Full text formats,Keywords,Full text language,URL for the Editorial Board page,Review process,Review process information URL,URL for journal's aims & scope,URL for journal's instructions for authors,Journal plagiarism screening policy,Plagiarism information URL,Average number of weeks between submission and publication,URL for journal's Open Access statement,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Journal license,License attributes,URL for license terms,Does this journal allow unrestricted reuse in compliance with BOAI?,Deposit policy directory,Author holds copyright without restrictions,Copyright information URL,Author holds publishing rights without restrictions,Publishing rights information URL,DOAJ Seal,Tick: Accepted after March 2014,Added on Date,Subjects
Anais da Academia Brasileira de Ciências,http://www.scielo.br/scielo.php?pid=0001-3765&script=sci_serial,,0001-3765,,Academia Brasileira de Ciências,,SciELO Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,2000,,"biological sciences, exact and earth sciences, health sciences",,,,,,,,,,,,,CC BY-NC,,,,,,,,,No,No,2004-04-23T21:31:00Z,Science: Biology (General)
ACME,http://riviste.unimi.it/index.php/ACME,,0001-494X,2282-0035,Università degli Studi di Milano,,OJS,Italy,,,,,,,,,,,,,,Italian National Library (BNCF),,http://www.depositolegale.it/,Yes,"DOI, NBN",,they are only for the site manager,2014,PDF,"Italian literature, classic literature, linguistics, philosophy",Italian,http://riviste.unimi.it/index.php/ACME/about/editorialTeam,Blind peer review,http://riviste.unimi.it/index.php/ACME/about/editorialPolicies#peerReviewProcess,http://riviste.unimi.it/index.php/ACME/about/editorialPolicies#focusAndScope,http://riviste.unimi.it/index.php/ACME/about/submissions#authorGuidelines,,,12,http://riviste.unimi.it/index.php/ACME/about/editorialPolicies#openAccessPolicy,Yes,http://riviste.unimi.it/index.php/ACME/article/view/4280,CC BY-NC-ND,,http://riviste.unimi.it/index.php/ACME/index,Yes,,True,http://riviste.unimi.it/index.php/ACME/about/editorialPolicies#custom-1,True,http://riviste.unimi.it/index.php/ACME/about/submissions#copyrightNotice,No,Yes,2014-12-22T19:55:58Z,General Works
Acta Adriatica,http://jadran.izor.hr/acta/eng/,,0001-5113,1846-0453,"Institute of Oceanography and Fisheries, Split",,"Institute of Oceanography and Fisheries, Split, Croatia",Croatia,,,,,,,,,,,,,,,,,,,,,2004,,"marine sciences, Mediterranean, Adriatic Sea",English,,,,,,,,,,,,,,,,,,,,,No,No,2006-11-17T17:19:25Z,Geography. Anthropology. Recreation: Oceanography
Acta Biochimica Polonica,http://www.actabp.pl,,0001-527X,1734-154X,Acta Biochimica Polonica,,Acta Biochimica Polonica,Poland,,,,,,,,,,,,,,,,,,,,,1977,,"chemistry, biochemistry",English,,,,,,,,,,,,,,,,,,,,,No,No,2003-12-16T00:00:00Z,Science: Chemistry: Organic chemistry: Biochemistry
Acta Dermato-Venereologica,http://www.medicaljournals.se/acta,,0001-5555,1651-2057,Society for Publication of Acta Dermato-Venereologica,,Society for Publication of Acta Dermato-Venereologica,Sweden,,,,,,,,,,,,,,,,,,,,,1998,,"sexually transmitted infections, psoriasis, psychodermatology, skin immunology, skin cancer",English,,,,,,,,,,,,,,,,,,,,,No,No,2011-11-10T12:31:05Z,Medicine: Dermatology
Acta Médica Costarricense,http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=0001-6002&lng=en&nrm=iso,,0001-6012,,Colegio de Médicos y Cirujanos de Costa Rica,,SciELO Costa Rica,Costa Rica,,,,,,,,,,,,,,,,,,,,,2000,,health sciences,,,,,,,,,,,,,,,,,,,,,,No,No,2004-04-23T21:31:01Z,Medicine: Medicine (General)
Acta Mycologica,https://pbsociety.org.pl/journals/index.php/am/index,,0001-625X,2353-074X,Polish Botanical Society,,OJS,Poland,Yes,,100,EUR - Euro,,,,,,,,,,,,,Yes,DOI,,,2006,PDF,"mycology, micromycetes, marcomycetes, slime moulds, symbiosis, mycopathology",English,https://pbsociety.org.pl/journals/index.php/am/about/editorialTeam,Double blind peer review,https://pbsociety.org.pl/journals/index.php/am/about/editorialPolicies#peerReviewProcess,https://pbsociety.org.pl/journals/index.php/am/about/editorialPolicies#focusAndScope,https://pbsociety.org.pl/journals/index.php/am/about/submissions#authorGuidelines,Yes,https://pbsociety.org.pl/journals/index.php/am/about/submissions#authorGuidelines,16,https://pbsociety.org.pl/journals/index.php/am/about/editorialPolicies#openAccessPolicy,Yes,https://pbsociety.org.pl/journals/index.php/am/article/view/am.2013.031,CC BY,,https://pbsociety.org.pl/journals/index.php/am/about/submissions#copyrightNotice,Yes,Sherpa/Romeo,True,https://pbsociety.org.pl/journals/index.php/am/about/submissions#copyrightNotice,True,https://pbsociety.org.pl/journals/index.php/am/about/submissions#copyrightNotice,No,Yes,2014-05-29T20:02:32Z,Science: Biology (General)
Acta Societatis Botanicorum Poloniae,https://pbsociety.org.pl/journals/index.php/asbp,,0001-6977,2083-9480,Polish Botanical Society,,OJS,Poland,,,,,,,,,,,,,,,,,,,,,1990,,"botany, plant biology",English,,,,,,,,,,,,CC BY,,,,,,,,,No,No,2011-08-08T11:56:58Z,Science: Botany
Acta Stomatologica Croatica,http://hrcak.srce.hr/index.php?show=casopis&id_casopis=6,,0001-7019,1846-0410,University of Zagreb,,Hrčak,Croatia,,,,,,,,,,,,,,,,,,,,,2000,,"dentistry, odontology, oral health","Croatian, English",,,,,,,,,,,,,,,,,,,,,No,No,2007-05-10T13:55:49Z,Medicine: Dentistry
Acta Veterinaria Brno,http://actavet.vfu.cz/,,0001-7213,1801-7576,"University of Veterinary and Pharmaceutical Sciences, Brno",,"University of Veterinary and Pharmaceutical Sciences in Brno, Czech Republic",Czech Republic,Yes,http://actavet.vfu.cz/guidelines.html,8000,CZK - Czech Koruna,,http://actavet.vfu.cz/guidelines.html,,,,,,,,,,,,,,,1978,PDF,"veterinary medicine, food hygiene, ecology, animal welfare, animal nutrition",English,http://actavet.vfu.cz/board.html,Blind peer review,http://actavet.vfu.cz/guidelines.html,http://actavet.vfu.cz/,http://actavet.vfu.cz/guidelines.html,,,7,http://actavet.vfu.cz/,,,CC BY,,http://actavet.vfu.cz/,Yes,,False,,False,,No,Yes,2003-11-28T00:00:00Z,Agriculture: Animal culture: Veterinary medicine
Africa Spectrum,http://hup.sub.uni-hamburg.de/giga/afsp,,0002-0397,1868-6869,German Institute of Global and Area Studies (GIGA),,German Institute of Global and Area Studies (GIGA),Germany,,,,,,,,,,,,,,,,,,,,,2009,,"Africa, politics, social science, culture, economics","English, German",,,,,,,,,,,,CC BY-ND,,,,,,,,,No,No,2009-08-04T16:58:51Z,Political science: International relations
Afro-Ásia,http://www.afroasia.ufba.br/,,0002-0591,,Universidade Federal da Bahia,,Redalyc,Brazil,,,,,,,,,,,,,,,,,,,,,1999,,"history of slavery, race relations, identity construction, Afro-Brazilian people, Bahia",,,,,,,,,,,,,CC BY-ND,,,,,,,,,No,No,2013-05-22T16:59:16Z,General Works
Proceedings of NAS RA : Mechanics ,http://www.flib.sci.am/eng/Mech/,,0002-3051,,National Academy of Sciences of the Republic of Armenia,,National Academy of Sciences of the Republic of Armenia,Armenia,,,,,,,,,,,,,,,,,,,,,1966,,"elasticity, electroconductivity, coupled fields, plasticity, vibration, stability","Armenian, Russian, English",,,,,,,,,,,,,,,,,,,,,No,No,2011-02-07T14:22:38Z,Science: Physics: Descriptive and experimental mechanics
Alfa: Revista de Lingüística,http://www.scielo.br/scielo.php?script=sci_serial&pid=1981-5794&lng=en&nrm=iso,Alfa,0002-5216,1981-5794,Universidade Estadual Paulista Júlio de Mesquita Filho,Universidade Estadual Paulista,SciELO Brazil,Brazil,,http://www.scielo.br/revistas/alfa/iaboutj.htm,,,,http://www.scielo.br/revistas/alfa/iaboutj.htm,,,,,,,,,,,Yes,DOI,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=1981-5794,2011,"PDF, HTML, XML","linguistics, language, communication, speech","English, French, Italian, Portuguese, Spanish; Castilian",http://www.scielo.br/revistas/alfa/iedboard.htm,Peer review,http://www.scielo.br/revistas/alfa/iinstruc.htm,http://www.scielo.br/revistas/alfa/paboutj.htm,http://www.scielo.br/revistas/alfa/iinstruc.htm,,http://www.scielo.br/revistas/alfa/iinstruc.htm,23,http://www.scielo.br/revistas/alfa/iinstruc.htm,Yes,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000200255&lng=en&nrm=iso&tlng=en,CC BY,,http://www.scielo.br/revistas/alfa/iaboutj.htm,Yes,,False,,False,,No,Yes,2009-03-10T14:30:57Z,Language and Literature: Philology. Linguistics
American Journal of Pharmaceutical Education,http://www.ajpe.org,,0002-9459,,American Association of Colleges of Pharmacy,,AACP,United States,,,,,,,,,,,,,,,,,,,,,1994,,"pharmacy, pharmacology, education",English,,,,,,,,,,,,,,,,,,,,,No,No,2004-09-16T09:19:57Z,Medicine: Pharmacy and materia medica
Notices of the American Mathematical Society.,http://www.ams.org/notices/,,0002-9920,1088-9477,American Mathematical Society,,American Mathematical Society,United States,,,,,,,,,,,,,,,,,,,,,1995,,"mathematics research, mathematics education",English,,,,,,,,,,,,,,,,,,,,,No,No,2003-04-14T00:00:00Z,Science: Mathematics
American Museum Novitates,http://digitallibrary.amnh.org/dspace/handle/2246/9,AMNH Novitates,0003-0082,,American Museum of Natural History,,dspace,United States,,,,,,,,,,,,,,,,,,,,,1921,,"zoology, palaeontology, geology",English,,,,,,,,,,,,,,,,,,,,,No,No,2002-10-14T16:35:09Z,Science: Zoology
Bulletin of the American Museum of Natural History,http://digitallibrary.amnh.org/dspace/handle/2246/7,AMNH Bulletin,0003-0090,,American Museum of Natural History,,dspace,United States,,,,,,,,,,,,,,,,,,,,,1881,,"zoology, palaeontology, geology",English,,,,,,,,,,,,,,,,,,,,,No,No,2002-10-15T10:01:35Z,Science: Zoology
Análise Social ,http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0003-2573,,0003-2573,,Instituto de Ciências Sociais da Universidade de Lisboa,,SciELO Portugal,Portugal,,,,,,,,,,,,,,,,,,,,,2004,,"sociology, social conditions, political science, history",,,,,,,,,,,,,,,,,,,,,,No,No,2009-11-27T12:41:17Z,Social Sciences: Sociology (General)
